ID            Type     Name                Data                                                                                                                                                                                                                                          Priority    Port    TTL      Weight
1753781651    SOA      @                   1800                                                                                                                                                                                                                                          0           0       1800     0
1753781652    NS       @                   ns1.digitalocean.com                                                                                                                                                                                                                          0           0       1800     0
1753781653    NS       @                   ns2.digitalocean.com                                                                                                                                                                                                                          0           0       1800     0
1753781654    NS       @                   ns3.digitalocean.com                                                                                                                                                                                                                          0           0       1800     0
1753782623    A        @                   206.189.199.202                                                                                                                                                                                                                               0           0       3600     0
1753782631    A        www                 206.189.199.202                                                                                                                                                                                                                               0           0       3600     0
1754988641    TXT      @                   v=spf1 include:zohomail.com ~all                                                                                                                                                                                                              0           0       3600     0
1755109866    MX       @                   mx.zoho.com                                                                                                                                                                                                                                   10          0       1800     0
1755109921    MX       @                   mx2.zoho.com                                                                                                                                                                                                                                  20          0       1800     0
1755109996    MX       @                   mx3.zoho.com                                                                                                                                                                                                                                  50          0       1800     0
1755110235    TXT      zmail._domainkey    v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCFKluQXpSZoRRArHY01OOHSwKkz9b5RYE1a6zkkOWpKGAMh5lp3DxcdyPY6bx8xXNpCP5PIuZbWOTis+1pcb4sMDOMPikBCWUC7VSdzIk+MWn+zMwRm+m5+pDcLqB1BYbQsoXtUvvNykOr83JO+mcNnVXytc2NoBdlppuItPoeYwIDAQAB    0           0       3600     0
1755153859    CNAME    _dmarc              _dmarc.haskinshouserecords_com._d.easydmarc.pro                                                                                                                                                                                               0           0       43200    0
